State,Facility,Authorizing_Agent,Known_Capacity,Population_Prior_to_Releases,Overall_Pop_Reduction_or_Total_Number_of_Releases,releases_only_or_mix,Has_detailed_breakdown,Parole_Tech_Violation ,Lower_Level_NonViolent_Crimes,Short_Time_Left_on_Sentence,Vulnerable_Populations,Other,Date,Legal_Filing,Source,Permalinks,Additional_Notes,
Pennsylvania,Statewide,"Governor, DOC",,44500,746,Releases only,Yes - See columns I-M,,x,x,x,,4/10/20,No,https://famm.org/wp-content/uploads/2020.4.10-TWW-SCI-reprieve-release-order-COVID-19.pdf,perma.cc/RP48-XV6R,Between a month ago and 4/20/2020 the PA DOCS reports 746 reprieves (24) and releases (722) ( https://www.cor.pa.gov/Pages/COVID-19.aspx (visited 4.20.20)),
Pennsylvania,Statewide,,,,2575,Mix,Yes - See columns I-M,x,,,,x,6/22/20,,https://www.erienewsnow.com/story/42276002/pennsylvanias-prison-population-reduced-by-nearly-3500-since-march-1,https://perma.cc/N87W-2LHL,"Article describes reduction of 3471, from which other releases noted above were subtracted.  Combination of parole releases, people over time, and parole vioations reviewed. ",
Pennsylvania,Statewide ,Governor,, ,150,Releases only,Yes - See columns I-M,,x,x,,x,6/12/20,,https://www.ydr.com/story/news/watchdog/2020/05/08/temporary-reprieve-program-state-prison-pennsylvania-one-month-later/3061010001/, perma.cc/T6XP-GC5U,must be either in on non-violent offense and within 9 months of release or medically vulnerable and within 1 year of release.,
Rhode Island,Statewide,"Prosecutors, Public Defender, DOC",,2740,52,Releases only,Yes - See columns I-M,,x,x,,,4/4/20,Yes,https://www.providencejournal.com/news/20200403/ri-supreme-court-oks-release-of-52-aci-inmates,perma.cc/3JUV-NFLY,All 52 we of <90 days left on sentence; short terms and non-violent offenses; from list of ~200 prisoners with <90 days left.,
Vermont,Statewide,,,1630,300,Mix,No,,,,,,4/26/20,,https://www.vpr.org/post/vermont-trying-shrink-its-prison-population-350-inmates-are-locked-past-their-minimums#stream/0,perma.cc/MWZ2-W5VH,Reduction is largely from reduced admissions.  Currently 311 still in beyond release date due to lack of final program availability, 
Virginia,Statewide,Governor,,,62,Releases only,Yes - See columns I-M,,,x,,,4/29/20,No,https://www.richmond.com/news/virginia/62-inmates-released-early---so-far---in-covid-19-relief-for/article_2fc22cbb-15d9-59a7-b763-3b1105125c1b.html,perma.cc/N2X6-LWCC,"Less than a year left on sentence; no-one with murder or sexual assault; may be up to 2,000, not released if Covid infected", 
Virginia,Statewide,Governor,,30000,169,Releases only,Yes - See columns I-M,,,x,x,,5/12/20,No,https://vadoc.virginia.gov/news-press-releases/2020/covid-19-updates/,perma.cc/MEW7-27XA,Virginia DOCS website lists 231 approved for early release for underlying medical condition and less than a year to serve(the number released on 4.29 (line below) subtracted.  Program and limitations are described (https://vadoc.virginia.gov/media/1506/vadoc-covid19-early-release-plan.pdf),
Virginia,Statewide,Governor,, ,336,Releases only,Yes - See columns I-M,,x,x,,x,6/8/20,,"updated releases: https://vadoc.virginia.gov/news-press-releases/2020/covid-19-updates/
other info: https://www.nbc12.com/2020/05/08/virginia-department-corrections-clears-prisoners-early-release/",perma.cc/VX37-SUMJ; perma.cc/4VLX-EACD,"336 includes 245 releases in VA DOC facilities and 91 releases of inmates state responsible housed in local jails;  NBC source specifies breakdown of releases: a year or less to serve and a record of good behavior, excludes anyone convicted of a Class 1 felony or a violent sex offense. Guidelines put out by prison officials say they’re considering inmates’ medical conditions when making decisions and prioritizing people convicted of non-violent offenses, felony weapons offenses, involuntary manslaughter and voluntary manslaughter",
West Virginia,Statewide, , ,6800,87,Mix,No,--, ,--,--, , ,,https://wchstv.com/news/coronavirus/wva-taking-steps-to-reduce-inmate-population-amid-covid-19-pandemic,perma.cc/D23J-RLLQ,"About 70 parolees who were serving short terms for parole-related sanctions have been released. In addition, any pre-trial inmates who did not pose a risk to public safety could be released on a personal recognizance or reduced bond.",
Wisconsin,Milwaukee Secure Detention Facility,,,,65,Releases only,No,--,--,--,--,--,4/9/20,,https://madison.com/wsj/news/local/wisconsin-doc-says-it-doesnt-know-how-3-more-prisoners-contracted-covid-19/article_fa0d8d00-14f9-5a67-894e-04f6af6b8532.html,perma.cc/7EMS-P37B,Offenders participating in an Alternative Revocation program released under the DOC (65 offenders),
Wisconsin,Statewide,,,"22,000",1572,Releases only,Yes - See columns I-M,x,,,,,5/4/20,,https://madison.com/wsj/news/local/crime-and-courts/wisconsin-doc-has-released-nearly-1-600-inmates-so-far-to-combat-covid-19-spread/article_03537daa-e1ec-5fe8-ac68-f5cf38ce8be5.html,perma.cc/58WK-99UW,"""The Wisconsin Department of Corrections has released nearly 1,600 inmates since March to help address the COVID-19 crisis, a DOC spokeswoman said Thursday.""",afc
,State prison pre-COVID population from PPI article for those not described in the articles/sources cited:  https://www.prisonpolicy.org/blog/2020/05/14/jails-vs-prison-update/,,,,,,,,,,,,,,,,,
