Name,Street,City,State,ZIP,ACTState,
BACON PROBATION DENTENTION CENTER,165 EAST EASTSIDE INDUSTRIAL BOULEVARD,ALMA,GEORGIA,31510,GEORGIA,
BAINBRIDGE PROBATION SUBSTANCE ABUSE CENTER,235 STATE HOSPITAL ROAD,BAINBRIDGE,GEORGIA,39817,GEORGIA,
BAKER CORRECTIONAL INSTITUTION,20706 US HWY 90 WEST,SANDERSON,FLORIDA,32087,FLORIDA,
BAKER CORRECTIONAL INSTITUTION WORK CAMP,U.S. 90,SANDERSON,FLORIDA,32087,FLORIDA,
BALDWIN STATE PRISON,Laying Farm Road,Hardwick,GEORGIA,31034,GEORGIA,
BALLINGTON HOUSE (VOA/N),421 WESTMINSTER AVENUE,Elizabeth,NEW JERSEY,7208,NEW JERSEY,
BALTIMORE CITY CORRECTIONAL CENTER,901 GREENMOUNT AVENUE,BALTIMORE,MARYLAND,21202,MARYLAND,
BALTIMORE PRE-RELEASE UNIT,926 GREENMOUNT AVENUE,BALTIMORE,MARYLAND,21202,MARYLAND,
BANNUM PLACE OF CLARKSBURG,260 MONTICELLO ROAD,Clarksburg,WEST VIRGINIA,26301,WEST VIRGINIA,
BANNUM PLACE OF FAYETTEVILLE,952 BRAGG BLVD,FAYETTEVILLE,NORTH CAROLINA,28301,NORTH CAROLINA,
Bannum Place of Jackson,1031 Wholesale Row,Jackson,MISSISSIPPI,39201,MISSISSIPPI,
Bannum Place of Wilimington,716 Princess St,Wilmington,NORTH CAROLINA,28401,NORTH CAROLINA,
BARAGA CORRECTIONAL FACILITY,13924 WADAGA ROAD,BARAGA,MICHIGAN,49908,MICHIGAN,
BARE HILL CORRECTIONAL FACILITY,181 BRAND ROAD,MALONE,NEW YORK,12953,NEW YORK,
BARRY B. TELFORD UNIT,3899 State Hwy 98,New Boston,TEXAS,75570,TEXAS,
BARTLETT STATE JAIL,1018 ARNOLD DRIVE,Bartlett,TEXAS,76511,TEXAS,
BARTOW WORK RELEASE CENTER,550 N. RESTWOOD AVE.,BARTOW,FLORIDA,33830,FLORIDA,
BASELINE CONSERVATION CAMP,16809 PEORIA FLAT ROAD,JAMESTOWN,CALIFORNIA,95327,CALIFORNIA,
BASKERVILLE CORRECTIONAL CENTER,4150 HAYES MILL ROAD,BAKERSVILLE,VIRGINIA,23915,VIRGINIA,
BASTROP FCI,1341 HIGHWAY 95 NORTH,BASTROP,TEXAS,78602,TEXAS,
BASTROP-CAMP,1341 HIGHWAY 95 NORTH,BASTROP,TEXAS,78602,TEXAS,
BATEN INTERMEDIATE SANCTION FACILITY,1995 HELTON ROAD,Pampa,TEXAS,79065,TEXAS,
BAUTISTA CONSERVATION CAMP,33015 BAUTISTA CANYON ROAD,HEMET,CALIFORNIA,92544,CALIFORNIA,
BAY AREA RECOVERY CENTER,2523 44th Street,Dickinson,TEXAS,77539,TEXAS,
BAY CITY WORK CAMP,HIGHWAY 98,APALACHICOLA,FLORIDA,32320,FLORIDA,
BAY CORRECTIONAL INSTITUTION-CCA,5400 BAYLINE DR,PANAMA CITY,FLORIDA,32404,FLORIDA,
BAY STATE CORRECTIONAL CENTER,28 CLARK STREET,NORFOLK,MASSACHUSETTS,2324,MASSACHUSETTS,
BAYSIDE STATE PRISON,4293 Route 47,Leesburg,NEW JERSEY,8327,NEW JERSEY,
BAYSIDE STATE PRISON ANCORA UNIT,202 SPRING ROAD,HAMMONTON,NEW JERSEY,8037,NEW JERSEY,
BAYSIDE STATE PRISON MINIMUM UNIT,P. O. BOX F2,LEESBURG,NEW JERSEY,8327,NEW JERSEY,
BAYVIEW CORRECTIONAL FACILITY,550 West 20th Street,New York,NEW YORK,10011,NEW YORK,
BEACON CORRECTIONAL FACILITY,50 CAMP BEACON ROAD,BEACON,NEW YORK,12508,NEW YORK,
BEAUFORD H. JESTER I SUBSTANCE ABUSE FELONY PUNISHMENT FACILITY,1 JESTER ROAD,Richmond,TEXAS,77406,TEXAS,
BEAUFORD H. JESTER III UNIT,3 JESTER ROAD,Richmond,TEXAS,77406,TEXAS,
BEAUFORD H. JESTER IV UNIT,4 JESTER ROAD,Richmond,TEXAS,77406,TEXAS,
BEAUMONT CENTER,2495 Gulf Street,Beaumont,FEDERAL,77703,TEXAS,
BEAUMONT LOW FCI,5560 KNAUTH RD,BEAMONT,FEDERAL,77705,TEXAS,
BEAUMONT MED FCI,5830 KNAUTH RD,BEAUMONT,FEDERAL,77705,TEXAS,
BEAUMONT USP,6200 KNAUTH RD,BEAUMONT,FEDERAL,77705,TEXAS,
BEAUMONT USP-CAMP,6200 KNAUTH RD,BEAUMONT,FEDERAL,77705,TEXAS,
BEAVER  WORK CENTER,215 AVENUE E.,BEAVER,OKLAHOMA,73932,OKLAHOMA,
BECKLEY CORRECTIONAL CENTER,111 S. EISENHOWER DRIVE,BECKLEY,WEST VIRGINIA,25801,WEST VIRGINIA,
BECKLEY FCI,1600 INDUSTRIAL ROAD,BEAVER,WEST VIRGINIA,25813,WEST VIRGINIA,
BECKLEY-CAMP,1600 INDUSTRIAL ROAD,BEAVER,WEST VIRGINIA,25813,WEST VIRGINIA,
BEDFORD HILLS CORRECTIONAL FACILITY,247 Harris Road,Bedford Hills,NEW YORK,10507,NEW YORK,
Behavioral Systems Southwest,950 East Diversion Dam Road,Florence,ARIZONA,85232,ARIZONA,
"BEHAVIORAL SYSTEMS SOUTHWEST, INC. - TUCSON RRC",6420 SOUTH PARK AVENUE,TUCSON,ARIZONA,85706,ARIZONA,
BEJE CLARK RESIDENTIAL CENTER,818 15TH STREET SW,MASON CITY,IOWA,50402,IOWA,
BELL COUNTY  FORESTRY CAMP,560 CORRECTIONAL DRIVE,PINEVILLE,KENTUCKY,40977,KENTUCKY,
BELLAMY CREEK CORRECTIONAL FACILITY,1727 WEST BLUEWATER HIGHWAY,IONIA,MICHIGAN,48846,MICHIGAN,
BELLINGHAM WORK RELEASE,1127 N Garden,Bellingham,WASHINGTON,98225,WASHINGTON,
BELMONT CORRECTIONAL INSTITUTION,68518 BANNOCK ROAD,ST CLAIRSVILLE,OHIO,43950,OHIO,
BEN LOMON CONSERVATION CAMP,13575 EMPIRE GRADE ROAD,SANTA CRUZ,CALIFORNIA,95060,CALIFORNIA,
BENNETTSVILLE FCI,696 MUCKERMAN ROAD,FEDERAL,SOUTH CAROLINA,29512,SOUTH CAROLINA,
BENNETTSVILLE-CAMP,696 MUCKERMAN ROAD,FEDERAL,SOUTH CAROLINA,29512,SOUTH CAROLINA,
BENT COUNTY CORRECTIONAL FACILITY-CCA,11560 COUNTY ROAD FF 75,LAS ANIMAS,COLORADO,81054,COLORADO,
