Name,Street,City,State,ZIP,ACTState,
FRANKLIN CO. RE-ENTRY (292),1804 OPPORTUNITY AVE,CHAMBERSBURG,PENNSYLVANIA,17201,PENNSYLVANIA,
FRANKLIN CORRECTIONAL CENTER,5918 NC HIGHWAY 39 SOUTH,BUNN,NORTH CAROLINA,27508,NORTH CAROLINA,
FRANKLIN CORRECTIONAL FACILITY,62 BARE HILL ROAD,MALONE,NEW YORK,12953,NEW YORK,
FRANKLIN CORRECTIONAL INSTITUTION,1760 HIGHWAY 67N,CARRABELLE,FLORIDA,32322,FLORIDA,
FRANKLIN MEDICAL CENTER,1800 HARMON AVENUE,COLUMBUS,OHIO,43223,OHIO,
FREDERICK COMMUNITY WORK CENTER,"18205 COUNTY ROAD, NS 215",FREDERICK,OKLAHOMA,73542,OKLAHOMA,
FREMONT CORRECTIONAL CENTER,2588 W 2365 S,SALT LAKE CITY,UTAH,84119,UTAH,
FREMONT CORRECTIONAL FACILITY,E US HIGHWAY 50 & EVANS BOULEVARD,CANON CITY,COLORADO,81215,COLORADO,
FRENCH ROBERTSON UNIT,12071 FM 3522,Abilene,TEXAS,79601,TEXAS,
FT. MYERS WORK CAMP,2575 ORTIZ AVE.,FT. MYERS,FLORIDA,33905,FLORIDA,
FT. PIERCE WORK RELEASE CENTER,1203 BELL AVENUE,FORT PIERCE,FLORIDA,34982,FLORIDA,
FULTON RECEPTION & DIAGNOSTIC CENTER,12393 Highway O,Fulton,MISSOURI,65251,MISSOURI,
G. ROBERT COTTON CORRECTIONAL FACILITY,3500 NORTH ELM ROAD,JACKSON,MICHIGAN,49201,MICHIGAN,
GABILAN CONSERVATION CAMP,ROUTE 1,SOLEDAD,CALIFORNIA,94694,CALIFORNIA,
GADSDEN CORRECTIONAL FACILITY,6044 GREENSBORO HWY,QUNICY,FLORIDA,32351,FLORIDA,
GAINESVILLE CORRECTIONAL INST WORK CAMP,1000 NE 55TH BLVD.,GAINESVILLE,FLORIDA,32609,FLORIDA,
GALLATIN COUNTY REENTRY PROGRAM,675 S. 16TH AVE,BOZEMAN,MONTANA,59715,MONTANA,
Garden Grove Residential Re-entry Center,11112 Barclay Dr.,Garden Grove,CALIFORNIA,92841,CALIFORNIA,
GARDEN STATE YOUTH CORRECTIOAL FACILITY,HIGHBRIDGE ROAD,YARDVILLE,NEW JERSEY,8620,NEW JERSEY,
GARFIELD COUNTY COMMUNITY CORRECTIONS,0224 COUNTY ROAD 333A,RIFLE,COLORADO,81650,COLORADO,
GARNER CORRECTIONAL INSTITUTION,50 NUNNAWAUK ROAD,NEWTOWN,CONNECTICUT,6470,CONNECTICUT,
GARRETT HOUSE-VOA/DV,509 COOPER STREET,Camden,NEW JERSEY,8102,NEW JERSEY,
GARZA EAST TRANSFER FACILITY,4304 HWY 202,Beeville,TEXAS,78102,TEXAS,
GARZA WEST TRANSFER FACILITY,4250 HWY 202,Beeville,TEXAS,78102,TEXAS,
GASTON CORRECTIONAL CENTER,520 JUSTICE COURT,DALLAS,NORTH CAROLINA,28034,NORTH CAROLINA,
GATEWAY- BRADDOCK (321),426 GEORGE STREET,BRADDOCK,PENNSYLVANIA,15104,PENNSYLVANIA,
GATEWAY- ERIE (322),1928 WAGNER ROAD,ERIE,PENNSYLVANIA,16510,PENNSYLVANIA,
GATEWAY- SHEFFIELD TOWERS (324),100 SUPERIOR AVE,ALIQUIPPA,PENNSYLVANIA,15001,PENNSYLVANIA,
Gateways RRC,1801 Lakeshore Drive,Los Angeles,CALIFORNIA,90026,CALIFORNIA,
GAUDENZIA - SIENA HOUSE (225),2101 N. CAMERON STREET,HARRISBURG,PENNSYLVANIA,17110,PENNSYLVANIA,
GAUDENZIA CROSSROADS HALL- ERIE (309),414 WEST 5TH STREET,ERIE,PENNSYLVANIA,16507,PENNSYLVANIA,
GAUDENZIA- CONCEPT 90 (227),124 E. AZALEA DRIVE,HARRISBURG,PENNSYLVANIA,17110,PENNSYLVANIA,
GAUDENZIA- FIRST (126),1306 SPRING GARDEN ST,PHILADELPHIA,PENNSYLVANIA,19123,PENNSYLVANIA,
GAUDENZIA- PHILLY HOUSE (133),2100 W VENANGO ST,PHILADELPHIA,PENNSYLVANIA,19140,PENNSYLVANIA,
GAUDENZIA- WEST CHESTER (106),1030 S. CONCORD RD,WEST CHESTER,PENNSYLVANIA,19382,PENNSYLVANIA,
Genesis Residential Reentry Center,3875 LILLIBRIDGE,Detroit,MICHIGAN,48214,MICHIGAN,
GEORGE BETO UNIT,1391 FM 3328,Tennessee Colony,TEXAS,75880,TEXAS,
GEORGE COUNTY COMMUNITY WORK CENTER,156 INDUSTRIAL PARK ROAD,LUCEDALE,MISSISSIPPI,39452,MISSISSIPPI,
GEORGE/GREENE COUNTY CORRECTIONAL FACILITY,154 INDUSTRIAL PARK ROAD,LUCEDALE,MISSISSIPPI,39452,MISSISSIPPI,
GEORGIA DIAGNOSTIC AND CLASSIFICATION STATE PRISON,"2979 HWY 36, West",Jackson,GEORGIA,30233,GEORGIA,
GEORGIA STATE PRISON,300 1ST AVENUE SOUTH,REIDSVILLE,GEORGIA,30453,GEORGIA,
GERALD R. HINZMAN RESIDENTIAL FACILITY,1051 29TH AVENUE SW,CEDAR RAPIDS,IOWA,52404,IOWA,
GIB LEWIS UNIT,777 FM 3497,Woodville,TEXAS,75990,TEXAS,
GILMER FCI,201 FCI LANE,GLENVILLE,FEDERAL,26351,WEST VIRGINIA,
GILMER-CAMP,201 FCI LANE,GLENVILLE,FEDERAL,26351,WEST VIRGINIA,
GLACIER MANOR,5597 AISEK STREET,Juneau,ALASKA,99801,ALASKA,
GLADES WORK CAMP,2600 STATE ROAD 15,BELLE GLADE,FLORIDA,33430,FLORIDA,
GLEN RAY GOODMAN TRANSFER FACILITY,349 Private Road 8430,Jasper,TEXAS,75951,TEXAS,
GLENWOOD CENTER,835 D STREET,Anchorage,ALASKA,99501,ALASKA,
GLORY HOUSE OF SIOUX FALLS,4000 S WEST AVENUE,SIOUX FALLS,SOUTH DAKOTA,57109,SOUTH DAKOTA,
GLORY HOUSE SANDS FREEDOM CENTER,3930 S. WEST,SIOUX FALLS,SOUTH DAKOTA,57109,SOUTH DAKOTA,
GLOSSBRENNER SUBSTANCE ABUSE FELONY PUNISHMENT FACILITY,5100 SOUTH FM 1329,San Diego,TEXAS,78384,TEXAS,
Golden State Modified Community Correctional Facility - GEO,611 FRONTAGE ROAD,MCFARLAND,CALIFORNIA,93250,CALIFORNIA,
GOODMAN CORRECTIONAL INSTITUTION,4456 BROAD RIVER ROAD,COLUMBIA,SOUTH CAROLINA,29210,SOUTH CAROLINA,
GORDON CORRECTIONAL CENTER,10401 EAST COUNTY ROAD G,GORDON,WISCONSIN,54838,WISCONSIN,
GOUVERNEUR CORRECTIONAL FACILITY,112 SCOTCH SETTLEMENT ROAD,GOUVERNEUR,NEW YORK,13642,NEW YORK,
GOWANDA CORRECTIONAL FACILITY,SOUTH ROAD,GOWANDA,NEW YORK,14070,NEW YORK,
GRACEVILLE CORRECTIONAL FACILITY,5168 EZELL ROAD,GRACEVILLE,FLORIDA,32440,FLORIDA,
GRACEVILLE WORK CAMP,5230 EZELL STREET,GRACEVILLE,FLORIDA,32440,FLORIDA,
GRAFTON CORRECTIONAL INSTITUTION,2500 SOUTH AVON BELDEN ROAD,GRAFTON,OHIO,44044,OHIO,
GRAHAM (CAMILLE GRIFFIN ) CORRECTIONAL INST,4450 BROAD RIVER ROAD,COLUMBIA,SOUTH CAROLINA,29210,SOUTH CAROLINA,
GRAHAM CORRECTIONAL CENTER,12078 Illinois Route 185,Hillsboro,ILLINOIS,62049,ILLINOIS,
GREAT FALLS PRE-RELEASE,1019 15TH STREET N,GREAT FALLS,MONTANA,59401,MONTANA,
Great Lakes Recovery Center,241 Wright Street,Marquette,MICHIGAN,49855,MICHIGAN,
GREAT MEADOW CORRECTIONAL FACILITY,11739 STATE ROUTE 22,COMSTOCK,NEW YORK,12821,NEW YORK,
GREEN BAY CORRECTIONAL INSTITUTION,2833 RIVERSIDE DRIVE,GREEN BAY,WISCONSIN,54301,WISCONSIN,
GREEN HAVEN CORRECTIONAL FACILITY,594 Route 216,Stormville,NEW YORK,12582,NEW YORK,
GREEN RIVER CORRECTIONAL COMPLEX,1200 RIVER ROAD,CENTRAL CITY,KENTUCKY,42330,KENTUCKY,
GREEN ROCK CORRECTIONAL CENTER,475 GREEN ROCK LANE,CHATHAM,VIRGINIA,24531,VIRGINIA,
Greenbrier Birthing Center - MINT,Denmar Road,Hillsboro,WEST VIRGINIA,24946,WEST VIRGINIA,
GREENE CORRECTIONAL  FACILITY,165 PLANK ROAD,COXSACKIE,NEW YORK,12051,NEW YORK,
GREENE CORRECTIONAL CENTER,2699 HWY 903 N,MAURY,NORTH CAROLINA,28554,NORTH CAROLINA,
GREENE COUNTY WORK CAMP,US 67 South,Roodhouse,ILLINOIS,62082,ILLINOIS,
GREENSVILLE CORRECTIONAL CENTER,901 CORRECTIONS WAY,JARRATT,VIRGINIA,23870,VIRGINIA,
GREENSVILLE WORK CENTER,901 Corrections Way,Jarratt,VIRGINIA,23870,VIRGINIA,
GREENVILLE - CAMP,100 U.S. HWY 40,GREENVILLE,ILLINOIS,62246,ILLINOIS,
GREENVILLE FCI,100 U.S. HWY 40,GREENVILLE,ILLINOIS,62246,ILLINOIS,
GREENWOOD RESTITUTION CENTER,308 HIGHWAY 7 NORTH REAR,GREENWOOD,MISSISSIPPI,38930,MISSISSIPPI,
GRIMES UNIT,300 CORRECTIONS DRIVE,NEWPORT,ARKANSAS,72112,ARKANSAS,
"Grossman Center - GEO Group, Inc",4715 Brewer Place,Leavenworth,KANSAS,66048,KANSAS,
GROVELAND CORRECTIONAL  FACILITY,7000 SONYEA ROAD,SONYEA,NEW YORK,14556,NEW YORK,
GROWLERBERG CONSERVATION CAMP,5440 LONGVIEW LANE,GEORGETOWN,CALIFORNIA,95634,CALIFORNIA,
GUADALUPE COUNTY CORR FACILITY-THE GEO GROUP,"SOUTH HWY, 54, EXIT 3B",SANTA ROSA,NEW MEXICO,88435,NEW MEXICO,
GULF CORRECTIONAL INSTITUTION,500 IKE STEELE ROAD,WEWAHITCHKA,FLORIDA,32465,FLORIDA,
GULF CORRECTIONAL INSTITUTION- ANNEX,699 IKE STEELE ROAD,WEWAHITCHKA,FLORIDA,32465,FLORIDA,
GULF FORESTRY CAMP,3222 DOC WHITFIELD RD.,WHITE CITY,FLORIDA,32465,FLORIDA,
GUNNISON PRISON,255 East 300 North,Gunnison,UTAH,84634,UTAH,
GUS HARRISON CORRECTIONAL FACILITY,2727 EAST BEECHER STREET,ADRIAN,MICHIGAN,49221,MICHIGAN,
GWINNETT COUNTY PRISON,750 HIGH HOPE ROAD,LAWRENCEVILLE,GEORGIA,30043,GEORGIA,
H.H. COFFIELD UNIT,2661 FM 2054,Tennessee Colony,TEXAS,75884,TEXAS,
HALAWA CORRECTIONAL FACILITY,99-902 Moanalua Hwy,Aiea,HAWAII,96701,HAWAII,
HALE CREEK ASA TREATMENT CENTER,279 Maloney Road,Johnstown,NEW YORK,12095,NEW YORK,
HALIFAX CORRECTIONAL UNIT,1200 FARM ROAD,South Boston,VIRGINIA,24592,VIRGINIA,
HALL COUNTY PRISON,1694 BARBER ROAD,GAINESVILLE,GEORGIA,30507,GEORGIA,
HAMILTON AGED & INFIRMED,223 SASSER DRIVE,HAMILTON,ALABAMA,35570,ALABAMA,
HAMILTON ANNEX,LAKE BASIN ROAD,JASPER,FLORIDA,32052,FLORIDA,
HAMILTON COMMUNITY Based Facility,1826 Beyar Avenue East,Hamilton,ALABAMA,35570,ALABAMA,
HAMILTON CORRECTIONAL INSTITUTION,10650 SW 46TH STREET,JASPER,FLORIDA,32052,FLORIDA,
HANCOCK STATE PRISON,701 Prison Boulvard,Sparta,GEORGIA,31087,GEORGIA,
HANNAH HOUSE (114),2831 NORTH HUTCHINSON STREET,PHILADELPHIA,PENNSYLVANIA,19133,PENNSYLVANIA,
HARDEE CORRECTIONAL INSTITUTION,6901 STATE RD 62,BOWLING GREEN,FLORIDA,33834,FLORIDA,
HARDEE CORRECTIONAL INSTITUTION WORK CAMP,6899 S.R. 62,BOWLING GREEN,FLORIDA,33834,FLORIDA,
HARDEMAN COUNTY CORRECTIONAL CENTER-CCA,2520 UNION SPRINGS ROAD,WHITEVILLE,TENNESSEE,38075,TENNESSEE,
HARDIN COUNTY WORK CAMP,"Box 99, Route 1",Cave-In-Rock,ILLINOIS,62919,ILLINOIS,
HARNETT CORRECTIONAL INSTITUTION,1210 E MCNEIL STREET,LILLINGTON,NORTH CAROLINA,27546,NORTH CAROLINA,
HARRIS COUNTY PRISON,9982 GEORGIA HIGHWAY 116,HAMILTON,GEORGIA,31811,GEORGIA,
HARRISBURG CENTER (203),27 N CAMERON STREET,HARRISBURG,PENNSYLVANIA,17101,PENNSYLVANIA,
HARRISON COUNTY COMMUNITY WORK CENTER,3820 8TH AVENUE,GULFPORT,MISSISSIPPI,39501,MISSISSIPPI,
HARRISONBURG MEN'S DIVERSION CENTER,6624 Beard Woods Lane,Harrisburg,VIRGINIA,22802,VIRGINIA,
HARTFORD CORRECTIONAL CENTER,177 WESTON STREET,HARTFORD,CONNECTICUT,6120,CONNECTICUT,
HARTFORD HOUSE,10 IRVING STREET,HARTFORD,CONNECTICUT,6112,CONNECTICUT,
Hattiesburg Community Correctional Center - Dismas Charities,5209 Hwy 42 Bypass,Hattiesburg,MISSISSIPPI,39401,MISSISSIPPI,
HAWAII COMMUNITY CORRECTIONAL CENTER,60 PUNAHELE STREET,HILO,HAWAII,96720,HAWAII,
HAYNESVILLE CORRECTIONAL CENTER,650 Barn-Field Road,Haynesville,VIRGINIA,22472,VIRGINIA,
HAYNESVILLE CORRECTIONAL UNIT #17,363 CAMP SEVENTEEN ROAD,HAYNESVILLE,VIRGINIA,22472,VIRGINIA,
HAYS STATE PRISON,777 Underwood Road,Trion,GEORGIA,30753,GEORGIA,
HAZEL D. PLANT WOMEN'S TREATMENT FACILITY,620 Baylor Boulevard,New Castle,DELAWARE,19720,DELAWARE,
HAZELTON USP,1640 SKY VIEW DRIVE,BRUCETON MILLS,FEDERAL,26525,WEST VIRGINIA,
HAZELTON-CAMP,1640 SKY VIEW DRIVE,BRUCETON MILLS,FEDERAL,26525,WEST VIRGINIA,
HAZELTON-FEMALE,1640 SKY VIEW DRIVE,BRUCETON MILLS,FEDERAL,26525,WEST VIRGINIA,
HAZLETON TREATMENT CTR (229),145 WEST BROAD STREET,HAZLETON,PENNSYLVANIA,18201,PENNSYLVANIA,
"Heartline, Inc",8201 Sylvester Street,Detroit,FEDERAL,48214,MICHIGAN,
HELEN B RATCLIFF WORK RELEASE,1531 13th Ave S,Seattle,WASHINGTON,98144,WASHINGTON,
HELENA PRE-RELEASE CENTER,805 COLLEN STREET,HELENA,MONTANA,59101,MONTANA,
Helms Facility,1275 CONSTITUTION ROAD,ATLANTA,GEORGIA,30316,GEORGIA,
HENNEPIN COUNTY ADULT CORRECTIONS FACILITY,1145 SHENANDOAH LANE,PLYMOUTH,MINNESOTA,55447,MINNESOTA,
HENRYVILLE CORRECTIONAL FACILITY,1504 SCHLAMN LAKE,HENRYVILLE,INDIANA,47126,INDIANA,
HERLONG - CAMP,741-925 ACCESS ROAD A-25,HERLONG,FEDERAL,96113,CALIFORNIA,
Herlong FCI,741-925 ACCESS ROAD A-25,HERLONG,FEDERAL,96113,CALIFORNIA,
HERNANDO CORRECTIONAL INSTITUTION,16415 SPRINGHILL DRIVE,BROOKSVILLE,FLORIDA,34604,FLORIDA,
HIGH DESERT STATE PRISON,475-750 RICE CANYON ROAD,SUSANVILLE,CALIFORNIA,96130,CALIFORNIA,
HIGH DESERT STATE PRISON,22010 COLD CREEK ROAD,INDIAN SPRINGS,NEVADA,89070,NEVADA,
HIGH ROCK CONSERVATION CAMP,2332 AVE OF THE GIANTS,WEOTT,CALIFORNIA,95571,CALIFORNIA,
HIGH SECURITY CENTER,54 POWER ROAD,CRANSTON,RHODE ISLAND,2920,RHODE ISLAND,
HILAND MOUNTAIN CORRECTIONAL CENTER,9101 HESTERBERG ROAD,EAGLE RIVER,ALASKA,99577,ALASKA,
HILL CORRECTIONAL CENTER,600 SOUTH LINWOOD ROAD,GALESBURG,ILLINOIS,61401,ILLINOIS,
Hillsborough Co CSC,4102 W Hillsborough Ave,Tampa,FEDERAL,-9,FLORIDA,
Hillside Community Corrections Center,3200 NW 39TH STREET,OKLAHOMA CITY,OKLAHOMA,73112,OKLAHOMA,
HILLSIDE COMMUNITY CORRECTIONS CENTER,3300 MARTIN LUTHER KING AVENUE,OKLAHOMA CITY,OKLAHOMA,73111,OKLAHOMA,
HILLTOP HOUSE,1050 AVENIDA DEL SOL,DURANGO,COLORADO,81301,COLORADO,
HILLTOP UNIT,1500 STATE SCHOOL ROAD,Gatesville,TEXAS,76598,TEXAS,
HINDS COUNTY RESTITUTION CENTER,429 SOUTH GALLATIN STREET,JACKSON,MISSISSIPPI,39203,MISSISSIPPI,
HOBART COMMUNITY WORK CENTER,311 S WASHINGTON STREET,HOBART,OKLAHOMA,73651,OKLAHOMA,
HOCKING CORRECTIONAL FACILITY,16759 SNAKE HOLLOW ROAD,NELSONVILLE,OHIO,45764,OHIO,
HOKE CORRECTIONAL INSTITUTION,243 OLD HIGHWAY 211,RAEFORD,NORTH CAROLINA,28376,NORTH CAROLINA,
HOLLIS COMMUNITY WORK CENTER,105 W JONES STREET,HOLLIS,OKLAHOMA,73550,OKLAHOMA,
HOLLYWOOD WORK RELEASE CENTER,8501 W. CYPRESS DRIVE,PEMBROKE PINES,FLORIDA,33025,FLORIDA,
HOLMAN CORRECTIONAL FACILITY,866 ROSS ROAD,ATMORE,ALABAMA,36503,ALABAMA,
HOLMES CORRECTIONAL INSTITUTION,3142 THOMAS DRIVE,BONIFAY,FLORIDA,32425,FLORIDA,
HOLMES WORK CAMP,3182 THOMAS DRIVE,BONIFAY,FLORIDA,32425,FLORIDA,
HOLMES/HUMPHREYS COUNTY CORRECTIONAL FACILITY,23234 HIGHWAY 12 EAST,LEXINGTON,MISSISSIPPI,39095,MISSISSIPPI,
HOMESTEAD CORRECTIONAL INSTITUTION,19000 SW 377TH STREET,FLORIDA CITY,FLORIDA,33034,FLORIDA,
HOPE HALL (VOA/DV),676 FAIRVIEW STREET,Camden,NEW JERSEY,8104,NEW JERSEY,
HOPE HOUSE RESIDENTIAL FACILITY,2501 HOLIDAY ROAD,CORALVILLE,IOWA,52241,IOWA,
"HOPE VILLAGE, INC","2840 LANGSTON PLACE, SE",WASHINGTON,DISTRICT OF COLUMBIA,20020,DISTRICT OF COLUMBIA,
HOSPITAL GALVESTON,809 HARBORSIDE DRIVE,Galveston,TEXAS,77555,TEXAS,
HOWARD MCLEOD CORRECTIONAL CENTER,1970 E WHIPPOORWILL LANE,ATOKA,OKLAHOMA,74525,OKLAHOMA,
HOWARD R. YOUNG CORRECTIONAL INSTITUTION,1301 E 12TH STREET,WILMINGTON,DELAWARE,19802,DELAWARE,
HUDSON CORRECTIONAL FACILITY,3001 NORTH JUNIPER STREET,HUDSON,COLORADO,80642,COLORADO,
HUDSON CORRECTIONAL FACILITY,50 EAST COURT STREET,HUDSON,NEW YORK,12534,NEW YORK,
HUMBOLDT CONSERVATION CAMP,8105 CONVERSATION ROAD,WINNEMUCCA,NEVADA,89446,NEVADA,
HUNTINGTON WORK RELEASE CENTER,1236 5TH AVE,HUNTINGTON,WEST VIRGINIA,25701,WEST VIRGINIA,
HUNTSVILLE UNIT,815 12TH STREET,Huntsville,TEXAS,77348,TEXAS,
HURON VALLEY CORRECTIONAL FACILITY - WOMEN,3201 Bemis Road,Ypsilanti,MICHIGAN,48197,MICHIGAN,
HUTCHINS STATE JAIL,1500 E LANGDON ROAD,Dallas,TEXAS,75241,TEXAS,
HUTCHINSON CORRECTIONAL FACILITY,500 REFORMATORY RD,HUTCHINSON,KANSAS,67501,KANSAS,
HUTTONSVILLE CORRECTIONAL CENTER,ROUTE 250 SOUTH,HUTTONSVILLE,WEST VIRGINIA,26273,WEST VIRGINIA,
HUTTONSVILLE WORK CAMP,ROUTE 250 SOUTH,HUTTONSVILLE,WEST VIRGINIA,26273,WEST VIRGINIA,
HYDE CORRECTIONAL INSTITUTION,620 PRISON ROAD,SWAN QUARTER,NORTH CAROLINA,27885,NORTH CAROLINA,
IBERIA TWP,3701 BROKEN ARROW ROAD,NEW IBERIA,LOUISIANA,70772,LOUISIANA,
IDABEL COMMUNITY WORK CENTER,1800 W MARTIN LUTHER KING ST.,IDABEL,OKLAHOMA,74745,OKLAHOMA,
IDAHO CORRECTIONAL CENTER,14601 PLEASANT VALLEY ROAD,KUNA,IDAHO,83634,IDAHO,
IDAHO CORRECTIONAL INSTITUTION - OROFINO,381 WEST HOSPITAL DRIVE,OROFINO,IDAHO,83544,IDAHO,
IDAHO FALLS COMMUNITY WORK CENTER,3955 BOMBARDIER AVENUE,IDAHO FALLS,IDAHO,83402,IDAHO,
IDAHO MAXIMUM SECURITY INSTITUTION,13400 PLEASANT VALLEY ROAD,KUNA,IDAHO,83634,IDAHO,
IDAHO STATE CORRECTIONAL INSTITUTION,13500 S PLEASANT VALLEY ROAD,KUNA,IDAHO,83634,IDAHO,
ILLINOIS RIVER CORRECTIONAL CENTER,"1300 W LOCUST STREET, Route 9 West",CANTON,ILLINOIS,61520,ILLINOIS,
INDEPENDENCE HOUSE  PECOS,4101 PECOS STREET,DENVER,COLORADO,80211,COLORADO,
INDEPENDENCE HOUSE - FILLMORE,1479 FILLMORE STREET,DENVER,COLORADO,80206,COLORADO,
INDIAN CREEK CORRECTIONAL CENTER,801 SANDERSON ROAD,CHESAPEAKE,VIRGINIA,23328,VIRGINIA,
INDIANA STATE PRISON,1 PARK ROW,MICHIGAN CITY,INDIANA,46360,INDIANA,
INDIANA WOMEN'S PRISON,2596 GIRL'S SCHOOL RD,INDIANAPOLIS,INDIANA,46214,INDIANA,
INDIANAPOLIS REENTRY EDUCATIONAL FACILITY,401 North Randolph Street,Indianapolis,INDIANA,46201,INDIANA,
Indianapolis Work Release (Liberty Hall),675 East Washington Street,Indianapolis,INDIANA,46184,INDIANA,
INTENSIVE REENTRY PROGRAM- Males and Females,3100 Cooper Street,Jackson,MICHIGAN,49201,MICHIGAN,
INTERMOUNTAIN CONSERVATION CAMP,651025 FOOTHILL ROAD,BIEBER,CALIFORNIA,96009,CALIFORNIA,
INTERVENTION COMMUNITY CORRECTIONS SERVICES,1101 H. STREET,GREELEY,COLORADO,80631,COLORADO,
INTERVENTION COMMUNITY CORRECTIONS SERVICES - JEFFCO,1651 KENDALL STREET,LAKEWOOD,COLORADO,80214,COLORADO,
INTERVENTION COMMUNITY CORRECTIONS SERVICES - WEST,11500 WEST SECURITY AVE,LAKEWOOD,COLORADO,80215,COLORADO,
IONIA CORRECTIONAL FACILITY,1576 WEST BLUEWATER HIGHWAY,IONIA,MICHIGAN,48846,MICHIGAN,
IOWA CORRECTIONAL INSTITUTE for WOMEN,300 ELM AVENUE SW,MITCHELLVILLE,IOWA,50169,IOWA,
IOWA MEDICAL & CLASSIFICATION CENTER,2700 CORAL RIDGE AVE.,CORALVILLE,IOWA,52241,IOWA,
IOWA STATE PENITENTIARY,3 JOHN BENNETT DRIVE,FORT MADISON,IOWA,52627,IOWA,
IRONWOOD STATE PRISON,19005 WILEY'S WELL ROAD,BLYTHE,CALIFORNIA,92226,CALIFORNIA,
ISAIAH HOUSE,"112, 120 and 341 Clinton Street",Bridgeport,CONNECTICUT,6605,CONNECTICUT,
ISHI CONSERVATION CAMP,30500 PLUM CREEK ROAD,PAYNES CREEK,CALIFORNIA,96075,CALIFORNIA,
ISSAQUENA COUNTY CORRECTIONAL FACILITY,22746 HIGHWAY 1 SOUTH,MAYERSVILLE,MISSISSIPPI,39113,MISSISSIPPI,
J. AARON HAWKINS CENTER,22522 ASHER ROAD,LITTLE ROCK,ARKANSAS,72206,ARKANSAS,
J. B. WHEELER STATE JAIL,986 COUNTY ROAD AA,Plainview,TEXAS,79072,TEXAS,
J. LEVY DABABIE CORRECTIONAL CENTER,1453 15TH STREET,PINEVILLE,LOUISIANA,71360,LOUISIANA,
J. O. Davis Correctional Facility,9681 Highway 21 North,Atmore,ALABAMA,36503,ALABAMA,
J.W. HAMILTON PRE-RELEASE FACILITY,200 Lee Morrison Lane,Bryan,TEXAS,77807,TEXAS,
JACKIE BRANNON CORRECTIONAL CENTER,900 N WEST STREET,MCALESTER,OKLAHOMA,74502,OKLAHOMA,
JACKSON CORRECTIONAL INSTITUTION,5563 10TH STREET,MALONE,FLORIDA,32445,FLORIDA,
JACKSON CORRECTIONAL INSTITUTION,N6500 HAIPEK RD.,BLACK RIVER FALLS,WISCONSIN,54615,WISCONSIN,
JACKSON COUNTY COMMUNITY WORK CENTER,1717 KENNETH AVENUE,PASCAGOULA,MISSISSIPPI,39567,MISSISSIPPI,
JACKSON COUNTY PRISON,255 CURTIS SPENCE DRIVE,JEFFERSON,GEORGIA,30549,GEORGIA,
JACKSON PARISH CORRECTIONAL CENTER - LaSalle,327 INDUSTRIAL DR.,JONESBORO,LOUISIANA,71251,LOUISIANA,
JACKSON WORK CAMP,5607 10TH STREET,MALONE,FLORIDA,32445,FLORIDA,
Jacksonville Community Service Center,2020 DAHLIA STREET,JACKSONVILLE,FLORIDA,32254,FLORIDA,
JACKSONVILLE CORRECTIONAL CENTER,2268 East Morton Ave,Jacksonville,ILLINOIS,62650,ILLINOIS,
JAMES (JAY) H. BYRD UNIT,21 FM 247,Huntsville,TEXAS,77320,TEXAS,
JAMES CRABTREE CORRECTIONAL CENTER,3RD AND MURRAY,HELENA,OKLAHOMA,73741,OKLAHOMA,
JAMES LYNAUGH UNIT,1098 SOUTH HWY 2037,Fort Stockton,TEXAS,79735,TEXAS,
JAMES RIVER CORRECTIONAL CENTER,2521 CIRCLE DRIVE,JAMESTOWN,NORTH DAKOTA,58401,NORTH DAKOTA,
JAMES RIVER WORK CENTER,1954 STATE FARM RD,STATE FARM,VIRGINIA,23160,VIRGINIA,
JAMES T. VAUGHN CORRECTIONAL CENTER,1181 PADDOCK RD,SMYRNA,DELAWARE,19977,DELAWARE,
JAMES V. ALLRED UNIT,2101 FM 369 North,Iowa Park,TEXAS,76367,TEXAS,
JAMESON ANNEX,1600 NORTH DRIVE,SIOUX FALLS,SOUTH DAKOTA,57117,SOUTH DAKOTA,
JANUARY CENTER,984 NORWICH-NEW LONDON TURNPIKE,MONTVILLE,CONNECTICUT,6382,CONNECTICUT,
JEAN CONSERVATION CAMP,3 PRISON ROAD,JEAN,NEVADA,89019,NEVADA,
JEFFERSON CITY CORRECTIONAL CENTER,8200 NO MORE VICTIMS ROAD,JEFFERSON CITY,MISSOURI,65101,MISSOURI,
JEFFERSON CORRECTIONAL CENTER,1050 BIG JOE ROAD,MONTICELLO,FLORIDA,32344,FLORIDA,
JEFFERSON COUNTY COMMUNITY WORK CENTER,101 CORRECTIONS ROAD,FAYETTE,MISSISSIPPI,39069,MISSISSIPPI,
JEFFERSON COUNTY PRISON,1159 CLARKS MILL ROAD,LOUISVILLE,GEORGIA,30434,GEORGIA,
JEFFERSON/FRANKLIN COUNTY CORRECTIONAL FACILITY,279 HIGHWAY 33,FAYETTE,MISSISSIPPI,39069,MISSISSIPPI,
Jenkins Correctional Facility,34404 Kent Farm Dr.,Millen,GEORGIA,30442,GEORGIA,
JERRY H. HODGE DEVELOPMENTALLY DISABLED PROGRAM,379 FM 2972,Rusk,TEXAS,75785,TEXAS,
JESS DUNN CORRECTIONAL CENTER,601 SOUTH 124TH STREET WEST,TAFT,OKLAHOMA,74463,OKLAHOMA,
